review_title,review_text,review_rating
"
Excellent sadee
","
It is better than what looks in the image.
",5.0 out of 5 stars
"
nice colour and design
","
vera level product
",5.0 out of 5 stars
"
Good product
","
I like this product, very comfort in less price
",3.0 out of 5 stars
"
Nice dress
","
Good product
",3.0 out of 5 stars
"
Not bad
","
Okay not bad
",3.0 out of 5 stars
"
Colour and texture is perfect
","
It is a good one,  light in weight, colour is same as shown in picture, liked it
",4.0 out of 5 stars
"
Ok not bad !
","
Tissue silk , light weight, Ok
",4.0 out of 5 stars
"
Very nice product
","
That the same product  very low-cost in market price.
",4.0 out of 5 stars
"
Saree super and quality best comfort
","




                    The media could not be loaded.
                


",3.0 out of 5 stars
"
Discount has no meaning
","
Like as submitted value.
",3.0 out of 5 stars
"
Short length
","
Saree length is not good...not good for tall people..... because blouse piece cant be removed as the length will b extra small
",3.0 out of 5 stars
"
Mother very happy
","
Mathasree very happyGood wuality lite wight product 😍😊😊
",5.0 out of 5 stars
"
Ok-ok
","
I am not satisfied with the qualitu of cloth...ya but it is cheap....they had written it as embroidery but it is just a printied cloth..totally not satisfied
",3.0 out of 5 stars
"
Hmm
","
Defective pieces is delivered. Next time please check product before delivery.
",3.0 out of 5 stars
"
Good
","
Nice
",3.0 out of 5 stars
"
Dublicate saree material is very bad
","
Material is dublicate
",2.0 out of 5 stars
"
Very happy to get this item
","
Very nice, price is also reasonable
",4.0 out of 5 stars
"
Just awesome 😍
","
Saree is so beautiful 😍❤️ according to the price just awesome value for the money .
",5.0 out of 5 stars
"
Good
","
Nice
",5.0 out of 5 stars
"
Beautiful saree
","
I bought this saree for my mother and she loved it . First of all, it's very comfortable to wear .Light in weight and saree design is so beautiful and blouse make this saree more beautifulI loved it
",5.0 out of 5 stars
"
Price according good
","
Prints and design is good.Price according good for daily use.Material is thik but not so much good. Ok okGo for it
",4.0 out of 5 stars
"
nice
","
very good quality & soft
",3.0 out of 5 stars
"
True value for money
","
Good material at very low cost. Light weight with good design & colour combinations. Must try.
",4.0 out of 5 stars
"
I was taken for my cousin she was so Excited for this saree and truly love it
","
The print is the same as shown in the picture the Color combination is good
",4.0 out of 5 stars
"
Okay with material.  Design doesn't match the photo. However worth for price
","
Okay with material.  Design doesn't match the photo. However worth for price
",3.0 out of 5 stars
"
Okay
","
Okay
",3.0 out of 5 stars
"
Very nice 👍👍
","
Very nice saree
",5.0 out of 5 stars
"
Ok product
","
Nice
",3.0 out of 5 stars
"
Nice
","
Good quality fabric and quite beautiful look.
",4.0 out of 5 stars
"
Think hai
","
Mast
",5.0 out of 5 stars
"
Nice saree
","
Nice saree....value for money product....really good @ just 299/-
",4.0 out of 5 stars
"
Go for it
","
Good for the price
",4.0 out of 5 stars
"
Superb design and quality
","
Bought it for my mom and she is so happy with this saree. The quality is good and the design is really impressive. Also the price is so low fully under budget. Real value for money product.
",5.0 out of 5 stars
"
Very Nice
","
Very good product very nice
",4.0 out of 5 stars
"
Good
","
Good
",4.0 out of 5 stars
"
Saree & fabric is good
","
Saree & fabric is good
",4.0 out of 5 stars
"
Satisfied
","
Good
",4.0 out of 5 stars
"
Good
","
Product looks is good the same saree wear in the movie of Challang at starting that teachers has been wear , but material is not good
",5.0 out of 5 stars
"
Babu c k
","
I like different  type saree stills
",3.0 out of 5 stars
"
Damage saree received
","
Saree having white colour spots about 3inches in one place and white dots in five places. Seems to be damaged one.
",2.0 out of 5 stars
"
हल्का
","
हल्का वजन है
",2.0 out of 5 stars
"
Acchi he
","
Sundar saree
",5.0 out of 5 stars
"
Price wise good
","
Good product
",4.0 out of 5 stars
"
Not 6 feet saree
","
Guys this saree is not 6 feet.only thin ppl can wear this..
",2.0 out of 5 stars
"
Good quality.
","
Nice brand good quality and nice colour
",5.0 out of 5 stars
"
great deal
","
we liked the texture and the nice print
",4.0 out of 5 stars
"
Printed saree...
","
It's a printed saree.. In image look like silk saree...
",2.0 out of 5 stars
"
Cause of Return
","
Sarees quality is good, but damage piece I got, so returned
",2.0 out of 5 stars
"
Waste
","
Saree design good but cloth material not good
",2.0 out of 5 stars
"
Kavitha
","
Very nice good quality
",4.0 out of 5 stars
"
🥰🥰
","
Fabric is very good
",4.0 out of 5 stars
"
Must go for it
","
I always trust Amazon for their product .a very good saree i will say go for it amazing
",5.0 out of 5 stars
"
Beautiful design saree👌✨✨
","




                    The media could not be loaded.
                



 Really good for this price!👌👌light weight👍Looking so beautiful✨✨design is so good✨✨#happycustomer..
",5.0 out of 5 stars
"
Not good
","
Not good, low quality product
",2.0 out of 5 stars
"
Awesome saree...
","
This saree material is too good...Looking gorgeous after wear this saree.. All colour is very nice and great.. Value for the money
",5.0 out of 5 stars
"
Not good
","
cloth quality is Not good
",2.0 out of 5 stars
"
Not good quality
","
Got a piece with torn corner.
",2.0 out of 5 stars
"
Fantastic
","
Really I don't thought this much good for this low amount really fantastic also gng to order one more
",5.0 out of 5 stars
"
Lovely design packed with amazing fabric quality.
","
Lovely design of this saree. My mother loved it and want to have another saree like this. The fabric quality is also very good.
",5.0 out of 5 stars
"
Awesome
","
Very good qualtiy and colour as same as shown... I m very happy... Saree is osm.
",5.0 out of 5 stars
"
Good quality
","
Nice. Good quality
",4.0 out of 5 stars
"
Nice boder
","
Good  quality
",5.0 out of 5 stars
"
I like it
","
Good
",5.0 out of 5 stars
"
Good Saree
","
Saree border is good. Colour is darker than in the picture.
",5.0 out of 5 stars
"
Kharab kapda kadak kapda bahut Aisa kapda online mein kripya nahin dalen
","




                    The media could not be loaded.
                



 Pahnane ke liye
",1.0 out of 5 stars
"
Very nice and beautiful
","
Best saree...
",5.0 out of 5 stars
"
Value for money
","
Beautiful saree
",5.0 out of 5 stars
"
No star for this product bcoz it's written is silk saree and come cotton saree
","
Dislike
",1.0 out of 5 stars
"
Good
","
Good
",5.0 out of 5 stars
"
Nice
","
Nice
",5.0 out of 5 stars
"
Osm product 🤗🤗
","
Product is Osm. Same as shown in picture. 😁
",5.0 out of 5 stars
"
OK
","
For daily uses
",5.0 out of 5 stars
"
Great saree
","
Excellent  saree
",5.0 out of 5 stars
"
Worst
","
Such a waste of money..very heavy rough cloth
",1.0 out of 5 stars
"
Not good
","
Got it today. Fabric is not good. Misprint and many small holls. Returning it .
",1.0 out of 5 stars
"
Super
","
Super 💝💝💝💝
",5.0 out of 5 stars
"
Good product
","
Nice
",5.0 out of 5 stars
"
Good product
","
Like
",5.0 out of 5 stars
"
Achi nhi thi
","
Defective peace
",1.0 out of 5 stars
"
Yashika saree
","
Good
",5.0 out of 5 stars
"
Good.
","
Value for money. Perfect.
",5.0 out of 5 stars
"
Worst product
","
Regret for buying this worst product. totally waste of money.
",1.0 out of 5 stars
"
Same colur and nice product
","
Nice product
",5.0 out of 5 stars
"
Very beautiful saree in this price
","
So beautiful 😍
",5.0 out of 5 stars
"
Very beautiful saaree
","
Everything is nice
",5.0 out of 5 stars
"
Good quality
","
Nice saree good quality
",5.0 out of 5 stars
"
Good
","
Good
",5.0 out of 5 stars
"
Poor quality
","
Poor quality
",1.0 out of 5 stars
